screen_location,content_items_count,active_items,inactive_items
"about","21","21","0"
"account_settings","14","14","0"
"application_submitted","6","6","0"
"auth_modal","4","4","0"
"bank_offers","4","4","0"
"borrowers_personal_data_step1","33","33","0"
"calculate_credit_3","88","88","0"
"co_borrower_income","32","32","0"
"co_borrower_personal_data","31","31","0"
"common","14","14","0"
"contact_page","7","7","0"
"contacts","47","47","0"
"cooperation","42","42","0"
"credit_coborrower_income","20","20","0"
"credit_coborrower_personal","20","20","0"
"credit_income_employed","22","22","0"
"credit_loading_screen","2","2","0"
"credit_login_page","26","26","0"
"credit_partner_income","20","20","0"
"credit_partner_personal","18","18","0"
"credit_personal_data","23","23","0"
"credit_phone_verification","7","7","0"
"credit_program_selection","11","11","0"
"credit_refi_account_locked_modal","4","4","0"
"credit_refi_coborrower_income","24","24","0"
"credit_refi_coborrower_personal","25","25","0"
"credit_refi_income_form","22","22","0"
"credit_refi_income_source_modal_1","18","18","0"
"credit_refi_income_source_modal_2","18","18","0"
"credit_refi_loading","6","6","0"
"credit_refi_login","12","12","0"
"credit_refi_obligation_modal_1","16","16","0"
"credit_refi_partner_income","26","26","0"
"credit_refi_partner_personal","23","23","0"
"credit_refi_password_reset","10","10","0"
"credit_refi_personal_data","25","25","0"
"credit_refi_phone_verification","18","18","0"
"credit_refi_program_selection","15","15","0"
"credit_refi_registration","18","18","0"
"credit_refi_registration_success_toast","2","2","0"
"credit_refi_step1","41","41","0"
"credit_refi_step2","34","34","0"
"credit_refi_wrong_password_modal","6","6","0"
"credit_registration_page","20","20","0"
"credit_step1","45","45","0"
"credit_step2","26","26","0"
"credit_step3","70","70","0"
"credit_summary","12","12","0"
"home_page","25","24","1"
"income_form_employed","32","32","0"
"loading_screen","6","6","0"
"login_page","9","9","0"
"main_menu","20","20","0"
"main_step1","4","4","0"
"main_step2","3","3","0"
"mortgage_additional_income_add","18","18","0"
"mortgage_calculation","39","32","7"
"mortgage_coborrower_income","33","33","0"
"mortgage_code_input","7","7","0"
"mortgage_income_add","13","13","0"
"mortgage_login_email","13","13","0"
"mortgage_login_sms","14","14","0"
"mortgage_obligation_add","24","24","0"
"mortgage_phone","12","12","0"
"mortgage_step1","70","70","0"
"mortgage_step2","101","101","0"
"mortgage_step3","109","109","0"
"mortgage_step4","47","47","0"
"mortgage_step4_fixed_rate_modal","6","6","0"
"mortgage_step4_prime_modal","8","8","0"
"mortgage_step4_variable_rate_modal","6","6","0"
"other_borrowers","5","5","0"
"other_borrowers_step1","60","60","0"
"other_borrowers_step2","69","69","0"
"partner_income_form","26","26","0"
"partner_personal_data","22","22","0"
"password_reset","7","7","0"
"personal_data_form","24","24","0"
"personal_data_management","62","62","0"
"phone_verification_modal","18","18","0"
"privacy_policy","2","2","0"
"privacy_policy_automated","5","5","0"
"privacy_policy_sensitive_data","5","5","0"
"program_selection","12","12","0"
"refinance_credit_1","51","51","0"
"refinance_credit_2","43","43","0"
"refinance_credit_3","24","24","0"
"refinance_credit_4","7","7","0"
"refinance_credit_step1","19","19","0"
"refinance_credit_step2","26","26","0"
"refinance_credit_step3","22","22","0"
"refinance_mortgage_1","30","30","0"
"refinance_mortgage_2","14","14","0"
"refinance_mortgage_3","4","4","0"
"refinance_mortgage_4","6","6","0"
"refinance_mortgage_step1","19","19","0"
"refinance_mortgage_step2","26","26","0"
"refinance_mortgage_step3","22","22","0"
"refinance_step1","57","57","0"
"refinance_step2","70","70","0"
"refinance_step3","51","51","0"
"reset_password_page","15","15","0"
"services_landing","4","4","0"
"sidebar","26","26","0"
"signup_form","7","7","0"
"sms_code_verification","5","5","0"
"sms_verification","12","12","0"
"support_help_center","14","14","0"
"temporary_franchise","92","92","0"
"tenders_for_brokers","56","56","0"
"tenders_for_lawyers","78","78","0"
"test_location","1","0","1"
"validation_errors","40","40","0"
